03, 01, LD_BLOCKS.DATA_UNKNOWN,"blocked loads due to store buffer blocks with unknown data."
03, 02, LD_BLOCKS.STORE_FORWARD,"loads blocked by overlapping with store buffer that cannot be forwarded ."
03, 08, LD_BLOCKS.NO_SR,"# of Split loads blocked due to resource not available."
03, 10, LD_BLOCKS.ALL_BLOCK,"Number of cases where any load is blocked but has no DCU miss."
05, 01, MISALIGN_MEM_REF.LOADS,"Speculative cache-line split load uops dispatched to L1D."
05, 02, MISALIGN_MEM_REF.STORES,"Speculative cache-line split Store-address uops dispatched to L1D."
07, 01, LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,"False dependencies in MOB due to partial compare on address."
07, 08, LD_BLOCKS_PARTIAL.ALL_STA_BLOCK,"The number of times that load operations are temporarily blocked because of older stores, with addresses that are not yet known. A load operation may incur more than one block of this type."
08, 01, DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,"Misses in all TLB levels that cause a page walk of any page size."
08, 02, DTLB_LOAD_MISSES.WALK_COMPLETED,"Misses in all TLB levels that caused page walk completed of any size."
08, 04, DTLB_LOAD_MISSES.WALK_DURATION,"Cycle PMH is busy with a walk."
08, 10, DTLB_LOAD_MISSES.STLB_HIT,"Number of cache load STLB hits. No page walk."
0D, 03, INT_MISC.RECOVERY_CYCLES,"Cycles waiting to recover after Machine Clears or JEClear. Set Cmask=1. Set Edge to count occurrences."
0D, 40, INT_MISC.RAT_STALL_CYCLES,"Cycles RAT external stall is sent to IDQ for this thread."
0E, 01, UOPS_ISSUED.ANY,"Increments each cycle the # of Uops issued by the RAT to RS. Set Cmask=1, Inv=1, Any=1 to count stalled cycles of this core. Set Cmask=1, Inv=1 to count stalled cycles."
10, 01, FP_COMP_OPS_EXE.X87,"Counts number of X87 uops executed."
10, 10, FP_COMP_OPS_EXE.SSE_FP_PACKED_DOUBLE,"Counts number of SSE double precision FP packed uops executed."
10, 20, FP_COMP_OPS_EXE.SSE_FP_SCALAR_SINGLE,"Counts number of SSE single precision FP scalar uops executed."
10, 40, FP_COMP_OPS_EXE.SSE_PACKED_SINGLE,"Counts number of SSE single precision FP packed uops executed."
10, 80, FP_COMP_OPS_EXE.SSE_SCALAR_DOUBLE,"Counts number of SSE double precision FP scalar uops executed."
11, 01, SIMD_FP_256.PACKED_SINGLE,"Counts 256-bit packed single-precision floating-point instructions."
11, 02, SIMD_FP_256.PACKED_DOUBLE,"Counts 256-bit packed double-precision floating-point instructions."
14, 01, ARITH.FPU_DIV_ACTIVE,"Cycles that the divider is active, includes INT and FP. Set Edge=1, Cmask=1 to count the number of divides."
17, 01, INSTS_WRITTEN_TO_IQ.INSTS,"Counts the number of instructions written into the IQ every cycle."
